StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q5,Q6,Q7,Q8,Q9,Q10_1,Q10_2,Q10_3
2020-07-21 09:28:44,2020-07-21 09:32:02,IP Address,185.24.186.4,100,198,True,2020-07-21 09:32:02,R_3MAVsfuSjMwb64y,,,,,48.8542938232421875,2.3527069091796875,anonymous,EN,,15/32,1/36,35 to 44 years,Female,"Ph.D., law or medical degree",3,1,,,
2020-07-21 10:03:38,2020-07-21 10:06:56,IP Address,107.77.236.11,100,198,True,2020-07-21 10:06:57,R_1rIDf3Q0Xc2GPDr,,,,,33.7223968505859375,-84.52050018310546875,anonymous,EN,9/20,1/2,1/9,55 to 64 years,Female,Bachelor's degree,2,No,1,1,1
2020-07-21 10:16:15,2020-07-21 10:20:15,IP Address,24.74.70.253,100,239,True,2020-07-21 10:20:15,R_2SqwUIw286uRfnX,,,,,35.415496826171875,-80.6143035888671875,anonymous,EN,9/20,1/2,1/9,25 to 34 years,Male,Bachelor's degree,2,No,3,1,1
2020-07-21 10:18:27,2020-07-21 10:23:07,IP Address,136.57.164.206,100,280,True,2020-07-21 10:23:07,R_1dn02NjUV0UaOEd,,,,,35.291595458984375,-80.820098876953125,anonymous,EN,9/20,1/2,1/9,25 to 34 years,Male,Completed some postgraduate,2,No,3,1,1
2020-07-21 10:26:06,2020-07-21 10:33:20,IP Address,99.109.17.26,100,433,True,2020-07-21 10:33:20,R_1LncOt9VBRLaFEi,,,,,35.7606964111328125,-78.7794036865234375,anonymous,EN,9/10,1/2,1/9,55 to 64 years,Male,Master's degree,5 minutes,no,5,1,1
2020-07-21 10:33:57,2020-07-21 10:40:22,IP Address,69.204.253.87,100,384,True,2020-07-21 10:40:22,R_2VPj574x8TOmZ1m,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,9/20,1/2,1/9,25 to 34 years,Male,Bachelor's degree," 4","Was a little confused on the first question. It took me a while to realize that the answers were given in fractions of the whole probability ",3,1,1
2020-07-21 12:03:17,2020-07-21 12:06:28,IP Address,24.74.70.253,100,191,True,2020-07-21 12:06:28,R_ZlTeKq8UUQK66Sl,,,,,35.415496826171875,-80.6143035888671875,anonymous,EN,11/20,1/2,1/9,25 to 34 years,Female,Master's degree,3,No,3,3,1
2020-07-21 14:12:47,2020-07-21 14:36:57,IP Address,172.124.75.166,100,1450,True,2020-07-21 14:36:57,R_33j5KEcLXeWd9YS,,,,,35.2100067138671875,-80.8511962890625,anonymous,EN,9/20,1/2,1/9,25 to 34 years,Female,Master's degree,5 mins,No,3,3,3
2020-07-21 15:17:14,2020-07-21 15:24:27,IP Address,172.124.75.166,100,432,True,2020-07-21 15:24:27,R_10V30usxIgLhtTl,,,,,35.2100067138671875,-80.8511962890625,anonymous,EN,9/20,1/2,1/9,25 to 34 years,Male,Bachelor's degree,5,Couldn't understand the answer format in first question.  I'm too dumb to answer the third question with confidence.,5,1,5
2020-07-21 17:44:33,2020-07-21 17:47:26,IP Address,126.33.42.230,100,173,True,2020-07-21 17:47:27,R_2xKLcEpHjAGUr4y,,,,,35.69000244140625,139.69000244140625,anonymous,EN,11/20,1/2,1/9,25 to 34 years,Female,Bachelor's degree,Dont know please check youself,Yes first question impossible to comprehend,5,3,3
2020-07-21 17:44:12,2020-07-21 17:47:48,IP Address,49.104.7.195,100,215,True,2020-07-21 17:47:48,R_Bx2yojORc1eu8Bb,,,,,35.69000244140625,139.69000244140625,anonymous,EN,9/20,1/2,1/9,25 to 34 years,Male,Completed some postgraduate,1.5,No,4,5,4
2020-07-21 17:44:16,2020-07-21 17:48:30,IP Address,1.75.250.60,100,253,True,2020-07-21 17:48:30,R_1g6GyPcM2z5f0Xm,,,,,35.69000244140625,139.69000244140625,anonymous,EN,9/10,3/16,1/9,25 to 34 years,Female,Master's degree,10 minutes,,5,5,5
2020-07-21 16:20:50,2020-07-24 18:23:22,IP Address,216.15.28.17,100,266552,True,2020-07-24 18:23:22,R_2fK8QqJ4j4kCOY2,,,,,38.920806884765625,-77.03600311279296875,anonymous,EN,,,,,,,,,,,
