StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q21,Q21_DO,Q22,Q22_DO,Q23,Q23_DO,Q24,Q24_DO,Q25,Q25_DO,Q26,Q26_DO,Q27,Q27_DO,Q28,Q28_DO,Q29,Q29_DO,Q30,Q30_DO,Q31,Q31_DO,Q32,Q32_DO,Q33,Q33_DO,Q34,Q34_DO,Q35,Q35_DO,Q36,Q36_DO,Q37,Q37_DO,Q38,Q38_DO,Q39,Q40,Q41,Q42,Q43,Q44,Q45,Q45_DO,Q46,Q46_DO,Q47,Q47_DO,Q48,Q48_DO,Q49,Q49_DO,Q50,Q50_DO,Q51,Q51_DO,Q52,Q52_DO,Q53,Q53_DO,Q54,Q54_DO,Q55,Q55_DO,Q56,Q56_DO,Q10,Q11,Q12,Q13,SC0,PROLIFIC_PID,block_order_1,block_order_2,block_order_3,block_order_4,block_order_5,block_order_6,Block1_DO,Block2_DO,Block3_DO,Block4_DO,Block5_DO,Block6_DO
7/26/2020 9:34:57,7/26/2020 9:40:10,0,89.68.30.129,100,313,1,7/26/2020 9:40:10,R_1im8QSKbqk7E8Vt,,,,,54.35650634765625,18.6533966064453125,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,,,,,,,,,,,6,7|6|1|5|4,,,,,,,,,,,8,7|10|9|11|8,,,,,,,5,6|1|7|4|5,,,,,,,,7,,,,,5,6|4|1|7|5,,,,,,,,,6,1|4|7|5|6,,,,,,,,,,,2,1,4,6,6,5bfe8eadf0d754000185f459,6,1,5,3,4,2,Q26,Q32,Q36,Q42,Q46,Q51
7/26/2020 9:33:21,7/26/2020 9:40:34,0,176.76.240.216,100,432,1,7/26/2020 9:40:34,R_2bPMfa8BikqFOSf,,,,,46.05029296875,14.5045928955078125,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,,,4,5|1|4|7|6,,,,,,,,,,,,,8,10|11|8|9|1,,,,,,,1,5|7|1|4|6,,,,,,,,,,,,,,,7,,,,5,6|4|5|1|7,,,,,,,,,,,6,6|7|1|4|5,,,,,,,,,3,2,7,8,4,5c9b9a438da9ad001697289c,2,3,4,5,1,6,Q22,Q29,Q33,Q43,Q46,Q52
7/26/2020 9:36:27,7/26/2020 9:40:40,0,89.153.207.1,100,252,1,7/26/2020 9:40:40,R_3ni5RCmTQx2RbSM,,,,,41.5514984130859375,-8.420501708984375,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,,,,,,,6,6|1|5|4|7,,,,,,,,,,,,,,,8,11|9|7|8|10,5,5|6|7|4|1,,,,,,,,,,,,,,,7,,,,,,,,5,6|1|5|7|4,,,,,,,,,,,,,6,6|5|1|7|4,,,2,1,5,5,6,5c88160f392ce000143ee1db,5,3,6,2,4,1,Q24,Q32,Q33,Q43,Q48,Q55
7/26/2020 9:34:46,7/26/2020 9:40:57,0,83.23.236.11,100,370,1,7/26/2020 9:40:57,R_1fadrumQcnWZ2SX,,,,,54.2704925537109375,18.476593017578125,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,,,7,6|1|4|7|5,,,,,,,,,,,,,,,9,10|8|11|7|9,,,,,,,,,,,,,,,6,7|1|5|6|4,,,,4,,,,,,,,,,,,,5,6|5|4|1|7,,,,,,,6,6|4|1|5|7,,,,,2,1,2,4,2,5eb29a4e7b27a00180228fbe,5,2,4,6,3,1,Q22,Q30,Q38,Q42,Q50,Q54
7/26/2020 9:38:35,7/26/2020 9:41:00,0,83.25.183.186,100,144,1,7/26/2020 9:41:00,R_2xGe89kuv5H5zCp,,,,,53.1313934326171875,18.0178070068359375,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,,,,,,,,,,,1,6|7|5|4|1,14,15|12|14|13|1,,,,,,,,,,,,,,,,,,,7,6|1|7|4|5,,,9,,,,,,,,,,,,,,,,4,7|6|5|4|1,,,,,,,,,6,4|6|7|5|1,,,2,1,2,5,1,5d27099998385500190c5f68,1,6,4,3,2,5,Q26,Q27,Q37,Q39,Q50,Q55
7/26/2020 9:37:48,7/26/2020 9:41:04,0,83.28.231.6,100,195,1,7/26/2020 9:41:04,R_t0aK1yeruPhkg4F,,,,,51.2393035888671875,22.4949951171875,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,5,5|4|6|1|7,,,,,,,,,,,,,,,8,9|10|1|8|11,,,,,,,,,7,7|1|5|4|6,,,,,,,,,,,7,,,,,,,,,,,,5,5|7|6|1|4,,,,,,,6,1|5|4|7|6,,,,,,,2,1,1,5 minutes,4,5ee35c6668a0910298cd9a78,4,1,5,2,3,6,Q21,Q29,Q34,Q41,Q49,Q53
7/26/2020 9:35:48,7/26/2020 9:41:10,0,95.92.120.137,100,322,1,7/26/2020 9:41:10,R_2s6GUhIEMYd720v,,,,,38.6304931640625,-9.110504150390625,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,,,,,,,,,,,6,5|7|1|6|4,,,,,,,8,11|8|9|10|7,,,,,,,,,,,5,6|7|4|5|1,,,,,12,,,,,,,,5,7|4|6|5|1,,,,,,,,,,,6,7|4|5|1|6,,,,,,,,,2,1,2,5-10,6,5ed6cb1765948612cc4ad5fb,3,5,6,2,4,1,Q26,Q30,Q36,Q39,Q46,Q52
7/26/2020 9:35:32,7/26/2020 9:41:15,0,134.255.80.242,100,343,1,7/26/2020 9:41:15,R_1KoG8uH3zm6dJfe,,,,,48.3948974609375,21.6587066650390625,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,1,5|4|1|6|7,,,,,,,,,,,,,,,,,,,8,11|7|8|9|10,,,,,,,,,4,5|1|4|6|7,,,,,,,,,,4,,,,,,,,,,,5,5|1|6|4|7,,,,,6,7|1|5|4|6,,,,,,,3,1,2,Kb. 10,3,5e64cb18af3bd523f3ffae94,5,1,3,6,4,2,Q21,Q31,Q36,Q44,Q50,Q53
7/26/2020 9:38:42,7/26/2020 9:41:18,0,95.246.65.36,100,155,1,7/26/2020 9:41:18,R_BtSulayAe7em6zf,,,,,43.5941925048828125,13.5034027099609375,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,,,,,,,,,5,1|6|7|5|4,,,,,,,,,,,10,9|7|8|11|10,,,,,,,,,,,,,1,7|6|1|5|4,,8,,,,,,,,,4,1|6|4|5|7,,,,,,,,,,,6,1|7|4|6|5,,,,,,,2,1,2,5,1,5f010df64a92a525dd96809b,6,5,3,1,2,4,Q25,Q31,Q38,Q40,Q47,Q53
7/26/2020 9:35:24,7/26/2020 9:41:25,0,91.157.102.87,100,360,1,7/26/2020 9:41:25,R_21BdaHidExOuIin,,,,,60.244293212890625,24.8762969970703125,anonymous,EN,0.7000000000000000000000000000000000000000000000000000,,,,,,,6,5|4|7|1|6,,,,,,,,,8,11|9|1|8|10,,,,,,,,,1,1|4|6|5|7,,,,,,,,,,8,,,,,5,6|4|1|7|5,,,,,,,,,,,,,,,,,6,1|6|7|4|5,,,,,3,1,5,5,4,5cd00327e2b4370017255ecc,2,4,5,1,6,3,Q24,Q29,Q34,Q40,Q45,Q54
7/26/2020 9:34:23,7/26/2020 9:41:33,0,5.64.10.236,100,429,1,7/26/2020 9:41:33,R_6FKwEoG1Sv1AGIh,,,,,53.5442047119140625,-1.4304962158203125,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,,,,,7,5|4|1|7|6,,,,,,,,,,,,,,,8,7|10|9|8|11,,,,,,,,,,,,,7,4|1|5|6|7,12,,,,,,,,,,,,5,6|4|7|5|1,,,,,,,6,6|4|7|1|5,,,,,,,,,2,2,3,7,4,5f06796a24cff61c7b0d0150,4,6,5,2,1,3,Q23,Q31,Q38,Q39,Q48,Q52
7/26/2020 9:36:38,7/26/2020 9:41:34,0,80.183.35.10,100,295,1,7/26/2020 9:41:34,R_BY3tFJdo35P42tP,,,,,44.7989959716796875,10.323394775390625,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,,,1,6|5|4|1|7,,,,,,,,,,,,,,,,,8,9|11|7|10|8,,,,,,,5,6|5|4|1|7,,,,,,,,,,7,,,,,,,,,,,,,5,6|1|5|4|7,,,6,1|6|4|7|5,,,,,,,,,2,1,5,5,5,5d62a36c6da6c6001af091ca,3,6,5,4,2,1,Q22,Q31,Q35,Q42,Q50,Q52
7/26/2020 9:37:56,7/26/2020 9:41:48,0,93.44.22.176,100,232,1,7/26/2020 9:41:49,R_2uxIIUTkIyZjYMa,,,,,40.85260009765625,14.26849365234375,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,,,,,7,4|6|7|5|1,,,,,,,,,,,,,,,,,9,10|7|9|8|11,,,1,5|4|7|6|1,,,,,,,,,,,,,6,,5,4|7|1|5|6,,,,,,,,,,,,,,,,,6,4|5|6|7|1,,,,,2,2,2,6,2,5f02e84b5f3481192569a5c2,6,5,2,4,1,3,Q23,Q32,Q34,Q43,Q45,Q54
7/26/2020 9:37:39,7/26/2020 9:41:51,0,85.55.90.135,100,252,1,7/26/2020 9:41:51,R_1DBkuFhoxc9EzMA,,,,,37.187896728515625,-3.60400390625,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,,,7,7|4|6|1|5,,,,,,,,,,,8,10|11|9|4|8,,,,,,,,,,,,,7,5|4|7|6|1,,,,,,,,,,,6,,,,,,4,4|5|1|7|6,,,,,,,,,,,,,,,,,6,4|6|7|1|5,2,1,3,5,2,5e4c3b4c67928808dcaa3bbe,5,2,6,4,1,3,Q22,Q28,Q35,Q43,Q47,Q56
7/26/2020 9:35:51,7/26/2020 9:42:00,0,89.132.235.109,100,369,1,7/26/2020 9:42:00,R_1f2Cjiv4xOFfIb7,,,,,47.5303955078125,21.627899169921875,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,,,,,,,,,4,5|6|4|1|7,,,,,,,,,,,8,9|10|8|11|7,,,,,,,,,,,,,7,1|5|6|7|4,,,,,4,,,,,,,,5,5|1|4|7|6,,,,,,,,,,,6,1|6|4|5|7,,,,,2,2,3,7,3,5d49217b20a7c00018ab9ca9,5,6,4,2,1,3,Q25,Q31,Q38,Q43,Q48,Q54
7/26/2020 9:33:03,7/26/2020 9:42:02,0,87.207.94.80,100,538,1,7/26/2020 9:42:02,R_2xRvZtSXZ3tfaos,,,,,50.0890045166015625,19.921295166015625,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,,,,,,,,,,,6,4|6|7|1|5,,,,,8,11|1|10|9|8,,,,,,,,,,,,,5,7|6|1|4|5,,,,,,,,,,7,,,,,5,5|6|4|1|7,,,,,,,,,,,,,,,6,6|5|4|1|7,,,2,2,5,7,6,5e21d038f4dbbd4b8d23ac41,3,6,2,1,4,5,Q26,Q29,Q36,Q44,Q47,Q55
7/26/2020 9:38:51,7/26/2020 9:42:14,0,185.157.109.213,100,202,1,7/26/2020 9:42:14,R_2tURCaZI54OGuTn,,,,,57.833892822265625,27.0193939208984375,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,,,5,7|5|6|1|4,,,,,,,,,,,,,,,,,8,11|10|8|9|7,,,,,5,7|4|1|6|5,,,,,,,,,,,6,,,,,,5,6|7|4|1|5,,,,,,,,,,,,,,,,,6,7|6|1|5|4,,,2,2,5,5,4,5c90f5eae2d9fb0011385c58,2,3,1,4,6,5,Q22,Q31,Q34,Q41,Q46,Q55
7/26/2020 9:39:05,7/26/2020 9:42:17,0,79.168.215.223,100,191,1,7/26/2020 9:42:17,R_06zBKv97YBWjObn,,,,,38.782501220703125,-9.3495941162109375,anonymous,EN,0.7000000000000000000000000000000000000000000000000000,,,,,7,4|1|7|5|6,,,,,,,,,,,1,10|9|1|11|8,,,,,,,,,,,,,,,,,6,4|5|6|1|7,,10,,,,,,,,,,,,,,,5,5|1|4|6|7,,,,,6,1|7|4|5|6,,,,,,,2,1,7,4,2,5ec8216a31328710b01d2f45,6,5,4,1,2,3,Q23,Q29,Q38,Q40,Q50,Q53
7/26/2020 9:36:26,7/26/2020 9:42:17,0,76.11.7.102,100,351,1,7/26/2020 9:42:18,R_1I4RbpwufGdDjSq,,,,,47.4998931884765625,-52.99810028076171875,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,,,,,1,7|6|1|5|4,,,,,,,14,13|15|14|1|12,,,,,,,,,,,,,,,,,,,5,6|4|7|5|1,,,,11,,,,,,,,,,,,,,,5,5|1|6|4|7,6,5|1|6|4|7,,,,,,,,,,,2,2,3,6,4,5c0436f3d30e3200016dcd72,2,5,1,4,6,3,Q23,Q27,Q37,Q40,Q50,Q51
7/26/2020 9:38:40,7/26/2020 9:42:17,0,151.45.13.215,100,217,1,7/26/2020 9:42:18,R_2VgPKQvWqSFuKSb,,,,,41.1121978759765625,16.854705810546875,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,,,,,,,4,7|5|4|1|6,,,,,,,,,,,,,7,8|10|9|7|11,,,,,,,,,7,4|5|6|1|7,,,,,,,,,6,,6,1|5|6|7|4,,,,,,,,,,,,,,,6,4|7|6|1|5,,,,,,,3,2,3,5,1,5cab8f50c7c413001598d8d6,3,1,5,4,2,6,Q24,Q31,Q36,Q43,Q45,Q53
7/26/2020 9:38:54,7/26/2020 9:42:19,0,89.64.15.192,100,204,1,7/26/2020 9:42:19,R_vUofnHNaftVemo9,,,,,52.24920654296875,21.00030517578125,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,,,,,,,,,,,4,6|7|5|4|1,,,,,,,,,8,9|11|8|7|10,,,5,5|1|6|4|7,,,,,,,,,,,,,6,,,,4,1|7|4|6|5,,,,,,,,,,,,,,,,,,,,,7,7|5|4|1|6,2,1,2,5,2,5eeb8e55aca0f90cc757bb0d,2,3,1,4,6,5,Q26,Q31,Q33,Q41,Q45,Q56
7/26/2020 9:38:54,7/26/2020 9:42:30,0,86.26.173.146,100,215,1,7/26/2020 9:42:30,R_2ZEO3dPN8lTzujm,,,,,50.7519073486328125,-1.87060546875,anonymous,EN,0.90000000000000000000000000000000000000000000000000000,,,,,,,,,,,5,4|1|7|5|6,,,,,,,,,8,11|10|7|8|9,,,6,7|6|4|5|1,,,,,,,,,,,12,,,,,,,,,,,,,,,,5,7|1|5|6|4,,,,,,,,,,,6,1|5|6|7|4,2,1,3,4,4,5e70bd5480f43a0009625d4c,3,2,6,5,4,1,Q26,Q31,Q33,Q39,Q50,Q56
